date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:50	7238/7238	---M-Z	200	added ('OK')	text/css	etag:W/%221c46-REXhA/xTGnqKrQ6n7ISPoCcwNxc%22	https://unpkg.com/vue-multiselect@2.1.0/dist/vue-multiselect.min.css	C:/Users/Public/e%20walllet/unpkg.com/vue-multiselect@2.1.0/dist/vue-multiselect.min.css	(from https://e-wallet360.com/)
16:47:52	93675/93675	---M--	200	added ('OK')	application/javascript	date:Sat,%2009%20Nov%202019%2016:01:17%20GMT	https://e-wallet360.com/assets/temp/js/vue/vue.js	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/js/vue/vue.js	(from https://e-wallet360.com/)
16:48:00	12877/12877	---M--	200	added ('OK')	application/javascript	date:Sat,%2009%20Nov%202019%2016:01:17%20GMT	https://e-wallet360.com/assets/temp/js/vue/vuebit.js	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/js/vue/vuebit.js	(from https://e-wallet360.com/)
16:48:04	584/584	---M--	200	added ('OK')	application/javascript	date:Sat,%2009%20Nov%202019%2016:01:17%20GMT	https://e-wallet360.com/assets/temp/js/custom.js	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/js/custom.js	(from https://e-wallet360.com/)
16:48:13	2577/2577	---M--	200	added ('OK')	image/png	etag:%225afd4820-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/Users/Public/e%20walllet/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
16:48:20	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:48:15%20GMT	https://e-wallet360.com/home/twtter	C:/Users/Public/e%20walllet/e-wallet360.com/home/twtter.34.delayed	(from https://e-wallet360.com/home/paymentproff)
16:48:25	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:48:18%20GMT	https://e-wallet360.com/home/linkedin	C:/Users/Public/e%20walllet/e-wallet360.com/home/linkedin.35.delayed	(from https://e-wallet360.com/home/paymentproff)
16:48:34	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:48:29%20GMT	https://e-wallet360.com/home/youtube	C:/Users/Public/e%20walllet/e-wallet360.com/home/youtube.36.delayed	(from https://e-wallet360.com/home/paymentproff)
16:48:40	8728/8728	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:35%20GMT	https://e-wallet360.com/forgerpassword	C:/Users/Public/e%20walllet/e-wallet360.com/forgerpassword.html	(from https://e-wallet360.com/login)
16:48:47	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/Users/Public/e%20walllet/code.jquery.com/jquery-3.3.1.min.js	(from https://e-wallet360.com/login)
16:48:49	2636/2636	---M--	200	added ('OK')	application/javascript	date:Sat,%2009%20Nov%202019%2016:01:17%20GMT	https://e-wallet360.com/assets/temp/js/vue/vuecom/loginregister.js	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/js/vue/vuecom/loginregister.js	(from https://e-wallet360.com/login)
16:48:51	9143/9143	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:46%20GMT	https://e-wallet360.com/home/login	C:/Users/Public/e%20walllet/e-wallet360.com/home/login.html	(from https://e-wallet360.com/regirter)
16:48:52	39037/39037	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:46%20GMT	https://e-wallet360.com/home/	C:/Users/Public/e%20walllet/e-wallet360.com/home/index.html	(from https://e-wallet360.com/regirter)
16:48:54	14298/14298	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:48%20GMT	https://e-wallet360.com/home/allfeedback/10	C:/Users/Public/e%20walllet/e-wallet360.com/home/allfeedback/10.html	(from https://e-wallet360.com/home/allfeedback)
16:48:57	14160/14160	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:52%20GMT	https://e-wallet360.com/home/allfeedback/20	C:/Users/Public/e%20walllet/e-wallet360.com/home/allfeedback/20.html	(from https://e-wallet360.com/home/allfeedback)
16:48:58	1054/1054	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/svgicon/smot.svg	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/svgicon/smot.svg	(from https://e-wallet360.com/)
16:48:58	865/865	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2009%20Nov%202019%2016:01:16%20GMT	https://e-wallet360.com/assets/temp/svgicon/circle.svg	C:/Users/Public/e%20walllet/e-wallet360.com/assets/temp/svgicon/circle.svg	(from https://e-wallet360.com/)
16:48:59	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Dec%202019%2010:48:54%20GMT	https://e-wallet360.com/twtter	C:/Users/Public/e%20walllet/e-wallet360.com/twtter	(from https://e-wallet360.com/)
16:48:59	14151/14151	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:54%20GMT	https://e-wallet360.com/home/allfeedback/twtter	C:/Users/Public/e%20walllet/e-wallet360.com/home/allfeedback/twtter.html	(from https://e-wallet360.com/home/allfeedback/10)
16:49:01	14151/14151	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:56%20GMT	https://e-wallet360.com/home/allfeedback/linkedin	C:/Users/Public/e%20walllet/e-wallet360.com/home/allfeedback/linkedin.html	(from https://e-wallet360.com/home/allfeedback/10)
16:49:03	14151/14151	---M-Z	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2010:48:57%20GMT	https://e-wallet360.com/home/allfeedback/youtube	C:/Users/Public/e%20walllet/e-wallet360.com/home/allfeedback/youtube.html	(from https://e-wallet360.com/home/allfeedback/10)
